"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login_negative[webkit]","tests","Sun Jan 18 07:24:12 UTC 2026","broken","Sun Jan 18 07:24:12 UTC 2026","","test_3o3","",""
"","4987","test_login_scenario[chromium]","tests","Sun Jan 18 07:23:29 UTC 2026","passed","Sun Jan 18 07:23:34 UTC 2026","","test_3o3","",""
"","1","test_login_negative[chromium]","tests","Sun Jan 18 07:23:39 UTC 2026","broken","Sun Jan 18 07:23:39 UTC 2026","","test_3o3","",""
"","6476","test_login_scenario[firefox]","tests","Sun Jan 18 07:23:42 UTC 2026","passed","Sun Jan 18 07:23:49 UTC 2026","","test_3o3","",""
"","1","test_login_negative[firefox]","tests","Sun Jan 18 07:23:53 UTC 2026","broken","Sun Jan 18 07:23:53 UTC 2026","","test_3o3","",""
"","7893","test_login_scenario[webkit]","tests","Sun Jan 18 07:23:57 UTC 2026","failed","Sun Jan 18 07:24:05 UTC 2026","","test_3o3","",""
