"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5108","test_login_scenario[firefox]","tests","Sun Jan 18 09:28:53 UTC 2026","passed","Sun Jan 18 09:28:58 UTC 2026","","test_3o3","",""
"","97","test_landing[chromium]","tests","Sun Jan 18 09:28:51 UTC 2026","passed","Sun Jan 18 09:28:51 UTC 2026","","test_3o3","",""
"","9086","test_login_negative[firefox]","tests","Sun Jan 18 09:29:04 UTC 2026","passed","Sun Jan 18 09:29:14 UTC 2026","","test_3o3","",""
"","5384","test_login_scenario[webkit]","tests","Sun Jan 18 09:29:11 UTC 2026","failed","Sun Jan 18 09:29:17 UTC 2026","","test_3o3","",""
"","6813","test_login_negative[chromium]","tests","Sun Jan 18 09:28:50 UTC 2026","passed","Sun Jan 18 09:28:57 UTC 2026","","test_3o3","",""
"","5030","test_login_scenario[chromium]","tests","Sun Jan 18 09:28:55 UTC 2026","passed","Sun Jan 18 09:29:00 UTC 2026","","test_3o3","",""
"","201","test_landing[webkit]","tests","Sun Jan 18 09:29:09 UTC 2026","passed","Sun Jan 18 09:29:09 UTC 2026","","test_3o3","",""
"","2681","test_landing[firefox]","tests","Sun Jan 18 09:29:01 UTC 2026","passed","Sun Jan 18 09:29:04 UTC 2026","","test_3o3","",""
"","9938","test_login_negative[webkit]","tests","Sun Jan 18 09:29:19 UTC 2026","passed","Sun Jan 18 09:29:29 UTC 2026","","test_3o3","",""
