"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3857","test_login_scenario[firefox]","tests","Sun Jan 18 08:53:30 UTC 2026","passed","Sun Jan 18 08:53:34 UTC 2026","","test_3o3","",""
"","3004","test_landing[webkit]","tests","Sun Jan 18 08:53:42 UTC 2026","passed","Sun Jan 18 08:53:45 UTC 2026","","test_3o3","",""
"","8323","test_login_negative[firefox]","tests","Sun Jan 18 08:53:41 UTC 2026","passed","Sun Jan 18 08:53:50 UTC 2026","","test_3o3","",""
"","3676","test_login_scenario[chromium]","tests","Sun Jan 18 08:53:33 UTC 2026","passed","Sun Jan 18 08:53:37 UTC 2026","","test_3o3","",""
"","236","test_landing[chromium]","tests","Sun Jan 18 08:53:29 UTC 2026","passed","Sun Jan 18 08:53:29 UTC 2026","","test_3o3","",""
"","5790","test_login_negative[chromium]","tests","Sun Jan 18 08:53:28 UTC 2026","passed","Sun Jan 18 08:53:34 UTC 2026","","test_3o3","",""
"","14116","test_login_negative[webkit]","tests","Sun Jan 18 08:53:52 UTC 2026","failed","Sun Jan 18 08:54:06 UTC 2026","","test_3o3","",""
"","5663","test_login_scenario[webkit]","tests","Sun Jan 18 08:53:48 UTC 2026","failed","Sun Jan 18 08:53:54 UTC 2026","","test_3o3","",""
"","1902","test_landing[firefox]","tests","Sun Jan 18 08:53:39 UTC 2026","passed","Sun Jan 18 08:53:41 UTC 2026","","test_3o3","",""
