"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5199","test_login_scenario[webkit]","tests","Sun Jan 18 10:24:58 UTC 2026","failed","Sun Jan 18 10:25:03 UTC 2026","","test_3o3","",""
"","4838","test_login_scenario[chromium]","tests","Sun Jan 18 10:24:43 UTC 2026","passed","Sun Jan 18 10:24:48 UTC 2026","","test_3o3","",""
"","7577","test_login_negative[chromium]","tests","Sun Jan 18 10:24:36 UTC 2026","passed","Sun Jan 18 10:24:44 UTC 2026","","test_3o3","",""
"","8482","test_login_negative[webkit]","tests","Sun Jan 18 10:25:11 UTC 2026","passed","Sun Jan 18 10:25:20 UTC 2026","","test_3o3","",""
"","166","test_landing[chromium]","tests","Sun Jan 18 10:24:37 UTC 2026","passed","Sun Jan 18 10:24:38 UTC 2026","","test_3o3","",""
"","5535","test_login_scenario[firefox]","tests","Sun Jan 18 10:24:40 UTC 2026","passed","Sun Jan 18 10:24:46 UTC 2026","","test_3o3","",""
"","121","test_landing[firefox]","tests","Sun Jan 18 10:24:51 UTC 2026","passed","Sun Jan 18 10:24:52 UTC 2026","","test_3o3","",""
"","12925","test_login_negative[firefox]","tests","Sun Jan 18 10:24:52 UTC 2026","broken","Sun Jan 18 10:25:04 UTC 2026","","test_3o3","",""
"","233","test_landing[webkit]","tests","Sun Jan 18 10:24:56 UTC 2026","passed","Sun Jan 18 10:24:57 UTC 2026","","test_3o3","",""
